Applicant ID,Application Date,First Name,Last Name,Gender,Date of Birth,Email,Address,City,State,Zip Code,Country,Education Level,Years of Experience,Desired Salary,Job Title,Status
1001,03/06/2023,Scott,Sheppard,Male,31/08/1992,perezjanet@example.org,597 Smith Point,Hollandfort,NV,57588,Micronesia,High School,8," $60,103.21 ",Chief Technology Officer,Interviewing
1002,15/05/2023,Stanley,Lewis,Male,29/04/1965,grossmark@example.com,8116 Stuart Loop,Port Margaretfurt,TN,14726,Greenland,Bachelor's Degree,17," $64,575.84 ","Designer, Furniture",Rejected
1003,04/08/2023,Javier,Li,Female,10/03/1973,katiemaldonado@example.com,5940 Barr Villages Suite 075,Dianaland,TX,4699,China,PhD,20," $39,422.71 ","Sound Technician, Broadcasting/Film/Video",Rejected
1004,28/07/2023,Christopher,Johnston,Other,04/04/2001,sheila73@example.com,442 Lewis Mount,Youngfurt,GA,34455,Ghana,High School,8," $51,045.11 ",Air Cabin Crew,Rejected
1005,05/06/2023,Melissa,Hicks,Other,17/06/1978,emilypatterson@example.org,95961 Taylor Circles Apt. 169,East Ashleyborough,IN,21014,Solomon Islands,Master's Degree,0," $52,792.86 ",Art Therapist,Interviewing
1006,26/07/2023,Christian,Maddox,Female,14/06/1983,pvelasquez@example.net,3030 Bell Islands,Boonefort,NC,34763,Liberia,Master's Degree,18," $97,746.62 ","Engineer, Electronics",In Review
1007,09/06/2023,Paul,Hammond,Female,16/08/1963,aclayton@example.net,58473 Jenna Trail,Port Barry,GA,57472,Congo,High School,11," $80,119.39 ","Scientist, Research (Maths)",Offered
1008,15/07/2023,Madison,Williamson,Male,07/09/1978,jeffreyellis@example.com,24740 Gregory Stravenue Suite 212,New Luisfort,VA,71682,Pitcairn Islands,Bachelor's Degree,0," $41,578.78 ","Teacher, Primary School",Offered
1009,16/06/2023,Rachael,Duran,Male,11/09/1997,hamptontimothy@example.net,375 Flowers Well,Amandashire,PW,25218,Spain,High School,15," $44,489.60 ",Phytotherapist,Interviewing
1010,25/05/2023,Sherri,Taylor,Male,24/04/1983,cshaw@example.net,037 Quinn Route,Garrisonmouth,CA,82074,Gabon,Master's Degree,4," $97,363.53 ","Pilot, Airline",Offered
1011,14/05/2023,Jennifer,Weaver,Other,22/10/1998,sloankrista@example.org,700 Quinn Green Suite 066,Haileyville,MS,37729,Switzerland,PhD,19," $39,252.38 ",Theatre Director,In Review
